54 848
27 6 16
27 7 10
27 9 17
27 11 9
27 12 6
27 14 10
27 15 3
27 16 20
27 20 2
27 21 3
27 23 3
27 24 7
27 38 14
27 39 13
27 43 19
27 44 2
27 50 1
27 51 2
27 54 11
28 5 13
28 7 9
28 10 17
28 13 2
28 18 17
28 20 18
28 23 2
28 30 8
28 32 14
28 34 12
28 38 14
28 46 11
28 47 19
28 52 3
29 2 7
29 3 20
29 7 8
29 9 17
29 11 2
29 15 20
29 18 10
29 23 4
29 24 2
29 30 16
29 33 17
29 37 7
29 43 14
29 44 10
29 48 7
29 52 8
29 54 20
30 1 11
30 5 16
30 6 8
30 9 12
30 11 13
30 13 5
30 16 13
30 17 12
30 18 18
30 19 17
30 26 5
30 27 1
30 30 15
30 36 19
30 37 7
30 42 6
30 43 7
30 46 15
30 48 7
30 49 6
31 5 5
31 7 10
31 13 19
31 14 12
31 17 18
31 27 5
31 30 6
31 32 20
31 34 3
31 43 13
31 45 11
31 48 14
31 49 20
32 1 19
32 2 17
32 4 12
32 12 3
32 16 2
32 29 16
32 30 1
32 31 18
32 36 12
32 37 1
32 47 4
32 50 11
32 51 19
32 53 10
33 1 9
33 8 6
33 10 8
33 11 6
33 15 2
33 16 10
33 21 4
33 24 13
33 42 7
33 43 1
33 50 10
33 52 18
33 53 15
34 5 2
34 7 9
34 10 20
34 15 14
34 18 7
34 19 17
34 22 5
34 24 1
34 26 18
34 28 12
34 31 13
34 34 7
34 44 4
34 51 5
35 1 10
35 3 6
35 4 4
35 5 11
35 13 14
35 17 9
35 19 19
35 21 19
35 25 10
35 27 20
35 28 14
35 33 14
35 34 18
35 38 6
35 42 4
35 45 16
35 46 1
35 48 17
35 49 4
35 50 20
36 1 10
36 9 2
36 11 16
36 12 7
36 14 14
36 15 5
36 17 18
36 21 7
36 26 11
36 31 13
36 35 11
36 36 13
36 38 18
36 41 6
36 43 15
36 44 11
36 45 6
36 52 5
36 54 1
37 1 7
37 7 4
37 15 15
37 16 1
37 18 2
37 19 12
37 20 4
37 21 17
37 24 12
37 25 20
37 38 12
37 40 4
37 44 2
37 46 5
37 47 19
37 51 8
37 52 18
38 7 16
38 8 5
38 9 16
38 14 6
38 20 18
38 24 7
38 25 10
38 28 7
38 30 4
38 32 5
38 33 18
38 40 10
38 53 9
39 2 10
39 3 16
39 8 13
39 19 16
39 21 16
39 22 14
39 23 8
39 24 11
39 30 2
39 34 19
39 36 3
39 37 5
39 39 2
39 44 4
39 48 1
39 50 13
39 53 11
40 3 10
40 4 8
40 9 7
40 15 6
40 17 5
40 18 16
40 33 4
40 39 15
40 42 3
40 43 7
40 45 19
40 48 12
41 1 8
41 7 7
41 11 1
41 16 4
41 17 11
41 20 9
41 23 11
41 30 16
41 33 16
41 35 14
41 45 9
41 48 6
41 51 16
41 54 13
42 6 20
42 11 19
42 14 13
42 19 12
42 20 1
42 24 3
42 25 11
42 36 19
42 38 20
42 43 15
42 44 15
42 54 3
43 2 1
43 3 9
43 8 1
43 9 11
43 10 12
43 15 9
43 18 10
43 22 4
43 23 4
43 33 20
43 37 12
43 46 14
43 47 8
43 50 7
43 51 7
43 53 16
44 2 5
44 7 14
44 9 1
44 15 4
44 16 12
44 17 13
44 20 15
44 24 4
44 27 7
44 29 17
44 32 15
44 38 18
44 39 3
44 44 9
44 45 12
44 46 4
44 49 9
44 50 13
44 52 14
44 53 20
44 54 13
45 2 3
45 4 3
45 5 16
45 16 15
45 21 15
45 30 9
45 31 2
45 32 13
45 36 8
45 41 17
45 51 17
45 53 1
46 1 17
46 3 12
46 8 5
46 10 2
46 11 6
46 12 20
46 14 20
46 16 14
46 17 14
46 21 10
46 28 17
46 31 14
46 40 1
46 42 12
46 48 2
47 4 13
47 5 17
47 10 13
47 12 17
47 18 20
47 26 16
47 27 12
47 28 6
47 30 2
47 33 13
47 37 7
47 39 6
47 46 20
47 47 15
47 49 15
47 52 12
48 1 4
48 3 6
48 4 16
48 5 17
48 7 4
48 8 16
48 11 8
48 12 17
48 15 1
48 16 17
48 18 5
48 25 15
48 27 18
48 32 16
48 35 16
48 41 2
48 42 5
48 44 1
48 47 19
48 48 4
48 52 16
48 54 2
49 6 1
49 9 9
49 11 14
49 13 7
49 15 6
49 18 13
49 21 13
49 23 12
49 31 17
49 32 16
49 35 18
49 43 12
49 45 4
49 46 13
49 47 19
49 49 12
49 51 1
49 54 20
50 4 8
50 6 6
50 7 14
50 9 17
50 12 13
50 16 1
50 18 11
50 20 17
50 22 1
50 24 9
50 31 12
50 32 8
50 37 10
50 50 12
50 52 8
51 2 16
51 7 10
51 12 6
51 13 20
51 24 3
51 27 17
51 28 16
51 33 10
51 36 6
51 38 20
52 9 14
52 13 18
52 15 18
52 21 17
52 22 11
52 25 9
52 28 4
52 34 16
52 49 14
52 51 13
53 1 20
53 2 7
53 4 3
53 9 9
53 13 19
53 15 3
53 21 12
53 24 7
53 25 4
53 27 16
53 31 6
53 36 19
53 40 17
53 48 3
53 50 19
53 54 11
54 3 20
54 4 6
54 11 1
54 17 17
54 19 5
54 34 6
54 38 15
54 42 15
54 43 2
54 46 17
54 47 15
54 48 17
54 50 4
54 51 9
