303 8397
9 166 7
9 184 17
9 198 20
9 200 2
9 226 1
9 230 20
9 231 12
9 242 4
9 243 15
9 260 23
9 268 10
9 273 17
9 283 5
9 291 11
9 295 21
10 3 2
10 6 7
10 17 17
10 27 6
10 28 18
10 35 13
10 38 10
10 51 9
10 80 20
10 86 9
10 97 17
10 110 4
10 121 2
10 124 18
10 128 10
10 157 17
10 167 18
10 170 20
10 172 13
10 173 13
10 175 20
10 181 9
10 184 1
10 200 23
10 208 23
10 210 17
10 232 9
10 234 16
10 249 15
10 252 13
10 253 7
10 258 16
10 265 19
10 267 1
10 270 16
10 280 7
11 1 7
11 5 2
11 11 10
11 14 4
11 38 4
11 40 20
11 59 1
11 64 5
11 66 14
11 80 4
11 107 21
11 109 2
11 114 23
11 115 4
11 127 14
11 146 13
11 168 12
11 171 8
11 173 12
11 193 5
11 207 2
11 214 14
11 228 20
11 237 10
11 242 3
11 258 4
11 264 3
11 267 15
11 270 21
11 284 18
11 290 16
11 293 4
11 294 13
12 16 2
12 17 1
12 18 10
12 33 21
12 35 19
12 42 9
12 57 6
12 63 22
12 67 23
12 79 7
12 94 16
12 97 4
12 99 15
12 101 5
12 105 9
12 138 22
12 139 11
12 144 14
12 148 17
12 152 1
12 158 10
12 171 4
12 176 4
12 177 7
12 189 23
12 213 18
12 225 4
12 249 11
12 267 4
12 272 2
12 273 17
12 297 5
13 39 2
13 46 20
13 102 20
13 127 14
13 128 5
13 142 19
13 143 7
13 144 5
13 163 19
13 165 22
13 194 2
13 199 10
13 201 20
13 202 10
13 213 3
13 226 7
13 228 23
13 235 19
13 286 8
13 291 4
13 299 16
14 6 5
14 7 10
14 28 9
14 37 22
14 49 8
14 63 19
14 65 20
14 98 9
14 125 6
14 152 1
14 167 4
14 169 3
14 170 14
14 171 18
14 192 7
14 205 9
14 208 1
14 232 5
14 240 5
14 244 16
14 260 6
14 265 14
14 266 12
14 287 16
14 295 10
14 298 13
14 300 9
14 301 23
15 9 20
15 20 12
15 29 15
15 43 1
15 62 22
15 75 1
15 76 16
15 102 23
15 105 13
15 111 12
15 119 8
15 132 19
15 159 7
15 163 11
15 178 21
15 180 14
15 185 5
15 199 21
15 206 23
15 215 22
15 250 3
15 256 4
15 274 14
15 278 2
15 294 11
15 295 3
15 302 11
16 1 15
16 3 15
16 18 20
16 24 14
16 27 5
16 40 8
16 51 22
16 64 22
16 72 23
16 75 16
16 77 8
16 83 22
16 90 6
16 93 14
16 98 23
16 103 18
16 106 20
16 119 11
16 129 9
16 187 10
16 209 9
16 218 6
16 223 3
16 238 2
16 240 2
16 256 23
16 257 15
16 267 21
16 282 5
16 291 11
16 292 8
17 5 19
17 10 2
17 13 4
17 23 9
17 27 23
17 42 6
17 57 7
17 60 21
17 70 22
17 76 23
17 88 6
17 89 15
17 104 22
17 107 13
17 119 14
17 162 10
17 165 9
17 191 18
17 200 18
17 201 12
17 214 21
17 219 17
17 221 9
17 230 22
17 243 13
17 248 8
17 264 7
17 282 10
17 295 6
18 3 18
18 29 17
18 32 1
18 41 13
18 45 15
18 50 3
18 53 13
18 69 20
18 80 4
18 98 4
18 114 12
18 132 20
18 134 3
18 145 3
18 157 12
18 167 15
18 179 11
18 185 21
18 218 17
18 248 22
18 279 15
18 288 23
18 295 13
18 302 8
19 2 8
19 10 11
19 45 14
19 79 9
19 101 12
19 114 23
19 144 15
19 174 6
19 178 17
19 204 9
19 207 18
19 228 2
19 237 12
19 238 7
19 239 21
19 244 9
19 280 11
19 285 3
20 1 22
20 41 7
20 43 23
20 56 10
20 57 22
20 84 10
20 89 7
20 98 15
20 110 2
20 135 21
20 147 14
20 167 15
20 172 22
20 192 21
20 211 19
20 223 13
20 225 1
20 228 7
20 229 6
20 236 15
20 240 12
20 247 22
20 248 17
20 265 1
20 267 17
20 273 22
20 283 1
20 284 14
20 289 7
21 3 5
21 8 11
21 24 5
21 35 12
21 44 10
21 86 8
21 129 10
21 167 13
21 176 14
21 178 1
21 212 14
21 227 5
21 229 9
21 234 5
21 237 21
22 7 23
22 17 18
22 28 4
22 39 23
22 46 1
22 56 9
22 64 8
22 72 7
22 93 2
22 96 2
22 101 1
22 143 18
22 166 23
22 167 1
22 171 3
22 173 1
22 174 6
22 183 13
22 186 22
22 187 17
22 191 16
22 195 7
22 222 20
22 238 5
22 244 20
22 257 20
22 267 18
22 289 19
22 303 22
23 7 17
23 10 16
23 14 22
23 18 5
23 30 19
23 70 15
23 73 22
23 104 21
23 108 23
23 115 22
23 124 22
23 137 18
23 148 22
23 164 11
23 168 11
23 173 23
23 191 13
23 197 11
23 203 5
23 209 19
23 221 10
23 250 15
23 255 11
23 259 10
23 265 11
23 290 15
23 293 23
24 6 1
24 39 3
24 41 18
24 63 23
24 88 13
24 93 10
24 94 15
24 101 17
24 114 22
24 117 6
24 139 16
24 149 14
24 155 22
24 163 14
24 164 12
24 166 16
24 177 7
24 196 22
24 200 4
24 207 6
24 219 5
24 225 8
24 246 4
24 248 23
24 257 11
24 268 18
24 273 4
24 274 20
24 279 22
24 281 12
24 282 20
24 285 22
24 288 15
24 289 8
24 302 15
25 1 21
25 3 18
25 4 6
25 6 15
25 30 10
25 32 12
25 34 1
25 59 23
25 61 10
25 84 8
25 96 6
25 119 20
25 154 8
25 156 21
25 187 17
25 191 13
25 195 3
25 208 1
25 211 10
25 212 19
25 224 6
25 234 21
25 249 23
25 263 2
25 276 19
25 282 11
25 286 15
25 295 12
26 1 19
26 30 23
26 41 3
26 43 17
26 77 11
26 86 9
26 99 2
26 103 14
26 113 14
26 115 19
26 116 14
26 147 23
26 151 20
26 168 13
26 174 13
26 177 5
26 198 10
26 211 6
26 229 11
26 251 6
26 260 1
27 2 21
27 24 2
27 31 6
27 65 18
27 68 18
27 79 1
27 99 8
27 107 22
27 134 16
27 147 19
27 159 18
27 170 9
27 176 21
27 180 5
27 198 13
27 202 6
27 211 23
27 219 3
27 229 13
27 231 18
27 236 10
27 246 7
27 253 8
27 296 22
28 19 19
28 20 6
28 34 9
28 46 2
28 56 17
28 58 14
28 74 19
28 76 14
28 99 9
28 101 1
28 113 2
28 114 20
28 117 1
28 120 9
28 121 19
28 129 10
28 135 4
28 138 7
28 144 12
28 153 19
28 185 11
28 187 1
28 189 18
28 191 4
28 199 4
28 205 8
28 232 21
28 243 13
28 249 14
28 255 22
28 262 12
28 265 9
28 285 5
28 291 14
29 1 4
29 2 21
29 3 21
29 59 22
29 64 5
29 87 7
29 93 16
29 97 23
29 100 20
29 116 17
29 120 3
29 121 15
29 132 20
29 138 6
29 140 21
29 148 9
29 152 18
29 156 2
29 158 9
29 172 13
29 173 5
29 232 6
29 236 20
29 238 19
29 258 19
29 264 4
29 286 18
29 292 1
30 8 12
30 19 16
30 22 14
30 28 10
30 31 7
30 44 5
30 54 2
30 57 11
30 66 11
30 81 18
30 83 4
30 100 2
30 137 5
30 146 6
30 151 16
30 174 1
30 188 12
30 195 8
30 210 3
30 221 23
30 224 3
30 227 12
30 248 12
30 254 2
30 256 17
30 260 2
30 262 14
30 263 6
30 266 5
30 272 2
30 279 6
30 285 11
30 290 17
30 294 13
30 295 20
31 5 23
31 6 18
31 9 21
31 12 4
31 37 22
31 56 15
31 64 8
31 72 23
31 75 19
31 79 13
31 94 10
31 97 14
31 100 18
31 126 17
31 127 16
31 151 18
31 163 13
31 170 21
31 174 23
31 179 14
31 199 15
31 210 2
31 211 5
31 213 20
31 224 6
31 235 6
31 253 20
31 272 16
31 273 17
31 276 9
31 293 12
31 298 16
31 301 3
32 1 4
32 5 20
32 76 2
32 81 12
32 104 4
32 116 18
32 133 2
32 141 10
32 147 4
32 174 15
32 178 5
32 186 14
32 187 1
32 193 22
32 199 4
32 206 22
32 220 21
32 221 11
32 239 7
32 302 16
33 21 9
33 23 3
33 38 22
33 42 9
33 61 16
33 69 8
33 75 2
33 86 2
33 93 14
33 100 17
33 119 21
33 124 17
33 125 7
33 134 16
33 149 22
33 152 4
33 165 11
33 171 23
33 185 14
33 187 8
33 197 14
33 202 12
33 208 22
33 233 9
33 240 4
33 244 19
33 248 7
33 260 18
33 264 6
33 271 13
33 273 11
33 287 9
33 289 9
33 296 3
33 300 17
34 1 2
34 4 10
34 27 18
34 31 20
34 32 23
34 35 5
34 36 11
34 56 10
34 63 6
34 77 4
34 91 9
34 98 3
34 122 8
34 138 2
34 140 16
34 145 9
34 157 16
34 183 4
34 201 7
34 202 18
34 206 7
34 215 19
34 216 1
34 218 2
34 225 19
34 228 13
34 244 6
34 247 4
34 254 15
34 278 8
34 286 14
34 289 10
34 294 11
34 298 2
35 2 6
35 5 5
35 9 6
35 11 17
35 42 14
35 64 5
35 71 14
35 77 16
35 104 8
35 109 15
35 132 18
35 140 17
35 167 23
35 176 4
35 179 21
35 184 1
35 229 21
35 236 21
35 241 19
35 275 15
35 282 16
35 283 14
35 284 21
35 298 15
36 13 11
36 33 12
36 47 22
36 61 1
36 86 22
36 97 10
36 106 2
36 117 21
36 121 14
36 128 2
36 131 14
36 141 21
36 171 6
36 173 21
36 176 8
36 183 7
36 189 12
36 203 19
36 208 1
36 231 6
36 254 22
36 260 15
36 292 6
36 293 13
36 297 6
36 300 18
37 2 4
37 6 16
37 11 9
37 16 1
37 23 7
37 29 13
37 33 6
37 67 23
37 74 14
37 98 21
37 138 3
37 141 15
37 200 19
37 204 10
37 216 16
37 241 3
37 245 7
37 248 16
37 263 1
37 279 8
37 284 22
37 293 6
38 5 3
38 56 22
38 59 11
38 62 18
38 76 13
38 118 10
38 139 7
38 143 13
38 164 5
38 177 4
38 180 5
38 182 7
38 188 21
38 201 11
38 205 19
38 207 4
38 216 10
38 227 9
38 236 18
38 242 12
38 247 18
38 255 13
38 264 21
38 302 10
39 25 16
39 34 22
39 40 19
39 42 10
39 59 6
39 70 18
39 84 9
39 101 3
39 103 10
39 117 14
39 118 20
39 119 17
39 125 23
39 136 4
39 160 6
39 174 21
39 182 1
39 193 10
39 195 4
39 196 22
39 202 14
39 203 17
39 233 19
39 253 1
39 263 2
39 268 13
39 271 6
39 284 13
39 296 20
40 25 21
40 36 17
40 39 12
40 53 19
40 61 12
40 76 15
40 78 18
40 80 6
40 87 23
40 91 20
40 121 10
40 128 7
40 136 17
40 157 3
40 159 1
40 165 14
40 173 2
40 174 21
40 175 14
40 176 11
40 180 19
40 183 6
40 195 1
40 200 12
40 201 1
40 202 18
40 215 7
40 218 8
40 222 18
40 225 20
40 243 4
40 248 15
40 287 13
40 300 9
41 33 10
41 52 1
41 57 23
41 62 4
41 69 1
41 75 16
41 76 18
41 79 10
41 88 23
41 99 11
41 105 6
41 106 17
41 108 18
41 129 7
41 139 14
41 141 8
41 144 11
41 177 9
41 183 14
41 184 5
41 189 14
41 190 8
41 202 17
41 205 21
41 206 15
41 218 11
41 219 11
41 226 18
41 238 2
41 250 23
41 265 3
41 272 5
41 274 17
41 279 19
41 284 8
41 298 17
42 4 6
42 16 19
42 30 20
42 42 22
42 49 23
42 56 19
42 83 15
42 84 17
42 103 2
42 123 5
42 137 19
42 140 6
42 153 8
42 171 3
42 174 11
42 177 21
42 180 10
42 182 4
42 198 12
42 201 19
42 202 8
42 206 22
42 216 13
42 234 9
42 252 15
42 259 10
42 264 13
42 279 9
42 288 22
42 294 14
43 1 2
43 14 4
43 30 10
43 41 16
43 45 2
43 59 9
43 81 11
43 103 16
43 126 20
43 138 7
43 144 15
43 152 15
43 160 12
43 174 16
43 191 17
43 200 16
43 201 7
43 227 3
43 266 13
43 301 19
44 13 21
44 25 20
44 27 11
44 30 5
44 34 22
44 42 3
44 47 8
44 55 11
44 66 11
44 69 6
44 81 19
44 83 6
44 86 10
44 125 22
44 126 15
44 137 5
44 139 7
44 141 3
44 150 15
44 152 20
44 156 3
44 185 23
44 202 11
44 215 8
44 223 15
44 251 4
44 272 18
44 278 21
44 289 1
44 301 7
45 12 10
45 18 15
45 23 21
45 30 15
45 35 13
45 40 19
45 58 17
45 65 20
45 82 1
45 83 21
45 91 3
45 92 19
45 100 20
45 110 6
45 117 17
45 125 12
45 126 10
45 139 17
45 150 8
45 153 1
45 181 14
45 235 10
45 250 23
45 258 18
45 280 11
46 4 8
46 21 22
46 22 5
46 39 23
46 47 16
46 57 6
46 63 3
46 75 7
46 120 3
46 140 17
46 142 20
46 147 21
46 166 4
46 181 10
46 205 15
46 209 18
46 213 12
46 219 4
46 227 15
46 240 11
46 257 14
46 271 20
46 272 21
46 275 8
46 298 4
46 303 15
47 17 15
47 24 7
47 38 9
47 43 9
47 55 17
47 58 10
47 59 1
47 63 16
47 88 9
47 105 16
47 107 21
47 121 6
47 128 17
47 130 23
47 142 22
47 145 13
47 157 14
47 160 20
47 166 16
47 169 6
47 186 14
47 187 5
47 202 3
47 205 22
47 210 9
47 212 17
47 225 18
47 246 23
47 247 1
47 282 21
47 289 15
47 301 9
47 302 21
48 4 17
48 17 17
48 35 15
48 39 3
48 69 18
48 73 1
48 74 6
48 83 4
48 98 21
48 107 11
48 127 20
48 135 20
48 141 3
48 156 3
48 165 4
48 182 22
48 190 19
48 203 3
48 213 7
48 217 17
48 222 6
48 244 5
48 299 2
49 2 22
49 17 23
49 41 2
49 51 16
49 58 14
49 71 10
49 88 1
49 92 12
49 96 20
49 108 11
49 134 20
49 141 16
49 148 22
49 149 20
49 151 21
49 163 3
49 168 17
49 188 2
49 206 16
49 216 7
49 220 5
49 237 19
49 247 10
49 249 20
49 286 14
50 7 13
50 47 3
50 49 1
50 51 18
50 65 8
50 69 2
50 77 10
50 119 1
50 122 20
50 126 2
50 156 14
50 157 6
50 159 2
50 167 2
50 184 2
50 206 6
50 208 21
50 217 18
50 233 5
50 235 17
50 243 9
50 246 1
50 255 10
50 258 5
50 272 16
50 277 16
50 289 9
50 291 5
51 25 3
51 29 22
51 30 12
51 33 9
51 43 19
51 93 12
51 105 3
51 110 20
51 115 8
51 133 6
51 134 20
51 135 21
51 158 7
51 175 10
51 188 4
51 193 2
51 196 6
51 201 22
51 204 7
51 220 3
51 223 10
51 239 5
51 241 14
51 259 13
51 264 22
51 283 17
52 14 17
52 16 15
52 27 10
52 46 19
52 47 13
52 78 6
52 104 17
52 112 2
52 131 8
52 154 6
52 161 7
52 166 4
52 177 2
52 183 8
52 210 9
52 230 21
52 231 6
52 242 15
52 248 2
52 258 9
52 270 16
52 296 1
53 8 1
53 17 16
53 30 3
53 36 5
53 49 15
53 50 10
53 86 17
53 99 13
53 101 4
53 113 10
53 120 21
53 139 13
53 140 5
53 151 11
53 173 12
53 182 15
53 186 6
53 189 19
53 205 21
53 206 12
53 210 22
53 212 22
53 214 20
53 219 1
53 221 14
53 242 2
53 248 15
53 254 9
53 256 4
53 266 1
53 270 9
53 276 21
53 292 10
53 294 5
53 295 2
54 23 1
54 35 15
54 62 18
54 76 14
54 85 12
54 93 21
54 107 11
54 114 18
54 121 2
54 123 15
54 135 6
54 144 11
54 147 20
54 153 18
54 155 8
54 177 3
54 186 10
54 196 23
54 211 16
54 229 10
54 232 7
54 236 11
54 254 18
54 269 15
54 297 14
54 302 18
55 11 17
55 64 5
55 79 4
55 87 16
55 98 7
55 110 22
55 127 1
55 134 18
55 140 12
55 180 12
55 182 16
55 187 16
55 189 6
55 206 11
55 223 8
55 237 5
55 259 21
55 273 21
55 276 22
55 285 22
55 301 23
56 6 2
56 14 16
56 20 9
56 21 11
56 25 22
56 30 19
56 48 22
56 54 8
56 62 3
56 73 16
56 74 18
56 84 8
56 90 13
56 96 10
56 100 14
56 108 11
56 148 10
56 157 2
56 161 16
56 169 15
56 188 17
56 196 9
56 203 20
56 211 22
56 217 10
56 237 1
56 246 19
56 251 7
56 273 22
56 293 12
56 299 1
56 302 17
57 4 4
57 35 9
57 41 4
57 50 19
57 54 22
57 72 2
57 74 3
57 79 1
57 99 11
57 127 21
57 143 8
57 149 18
57 158 1
57 171 15
57 188 5
57 196 11
57 223 17
57 230 21
57 239 19
57 255 4
57 266 23
57 281 16
57 290 2
57 292 9
57 294 16
58 11 15
58 12 9
58 20 9
58 27 3
58 37 3
58 69 2
58 74 23
58 83 6
58 85 23
58 121 18
58 150 4
58 155 18
58 164 21
58 169 4
58 170 23
58 175 12
58 188 6
58 204 17
58 248 12
58 258 20
58 263 15
58 264 16
58 271 13
58 275 6
58 291 12
59 3 17
59 7 5
59 16 21
59 30 12
59 64 7
59 71 13
59 121 3
59 171 16
59 200 15
59 206 5
59 208 18
59 209 11
59 214 4
59 261 23
59 270 4
59 290 22
59 292 20
60 3 15
60 15 13
60 24 1
60 25 14
60 29 1
60 48 6
60 54 7
60 65 6
60 75 19
60 76 16
60 78 16
60 81 3
60 85 21
60 103 4
60 115 13
60 144 20
60 146 1
60 154 1
60 163 3
60 166 7
60 169 4
60 173 18
60 181 16
60 192 2
60 213 7
60 216 20
60 237 6
60 267 23
60 295 23
60 302 21
61 13 20
61 19 14
61 44 4
61 64 14
61 70 22
61 79 4
61 95 13
61 132 5
61 138 3
61 144 8
61 193 14
61 204 18
61 222 10
61 231 12
61 238 15
61 262 16
61 268 8
61 286 9
61 287 17
61 289 10
61 296 16
61 297 20
62 4 22
62 8 2
62 10 21
62 32 22
62 35 21
62 50 20
62 51 21
62 54 20
62 95 11
62 104 17
62 107 4
62 138 14
62 142 7
62 144 2
62 149 11
62 160 19
62 163 1
62 182 14
62 185 21
62 187 14
62 191 8
62 205 1
62 206 19
62 216 17
62 217 17
62 229 3
62 237 2
62 250 10
62 260 7
62 281 17
62 293 23
62 296 22
63 10 12
63 28 14
63 32 20
63 71 9
63 75 5
63 86 17
63 110 22
63 125 15
63 129 5
63 149 3
63 156 6
63 161 5
63 163 21
63 215 16
63 221 18
63 231 21
63 257 23
63 267 15
63 279 6
63 285 2
63 303 15
64 10 1
64 11 18
64 24 2
64 38 21
64 39 19
64 56 11
64 57 21
64 80 7
64 88 4
64 89 19
64 98 18
64 100 18
64 102 15
64 110 4
64 146 22
64 154 2
64 186 19
64 207 7
64 214 6
64 216 21
64 220 6
64 223 11
64 236 13
64 239 22
64 245 5
64 251 4
64 253 15
64 263 13
64 265 9
64 268 16
64 275 21
64 278 4
64 290 10
64 292 23
65 7 1
65 8 23
65 10 10
65 38 15
65 41 6
65 46 14
65 69 10
65 82 23
65 84 2
65 86 1
65 104 20
65 108 17
65 111 19
65 142 16
65 152 23
65 166 2
65 175 7
65 178 23
65 190 6
65 193 19
65 197 15
65 201 4
65 227 17
65 234 6
65 242 16
65 243 2
65 257 22
65 259 13
65 297 22
66 16 2
66 18 12
66 48 16
66 67 18
66 91 16
66 105 7
66 127 23
66 134 23
66 144 16
66 146 17
66 147 1
66 148 10
66 175 7
66 177 11
66 180 6
66 193 22
66 199 4
66 222 1
66 225 23
66 231 3
66 245 6
66 265 12
66 271 17
66 274 9
66 288 5
67 19 23
67 26 1
67 57 1
67 75 15
67 82 13
67 93 22
67 101 10
67 104 19
67 111 15
67 126 5
67 128 11
67 134 15
67 139 21
67 153 10
67 155 8
67 162 14
67 169 4
67 184 17
67 187 21
67 199 14
67 210 16
67 213 13
67 220 17
67 244 16
67 248 6
67 253 14
67 256 21
67 263 18
67 269 7
67 273 6
67 281 22
67 293 23
67 298 23
67 301 22
68 8 8
68 23 7
68 38 15
68 48 12
68 62 2
68 67 23
68 71 16
68 83 6
68 100 14
68 110 7
68 119 15
68 122 21
68 123 15
68 127 18
68 132 9
68 137 6
68 148 2
68 149 18
68 154 18
68 165 12
68 181 11
68 187 1
68 191 2
68 192 2
68 217 12
68 234 3
68 238 2
68 255 10
68 260 19
68 274 1
68 288 3
68 297 21
68 303 1
69 2 17
69 45 9
69 59 2
69 77 10
69 85 1
69 89 7
69 117 23
69 140 1
69 153 15
69 155 21
69 164 15
69 173 3
69 177 23
69 188 20
69 191 4
69 212 17
69 213 15
69 230 10
69 254 21
69 260 9
69 274 5
69 275 23
70 4 20
70 21 1
70 29 1
70 31 23
70 46 20
70 47 18
70 50 2
70 57 17
70 69 19
70 76 12
70 77 2
70 79 20
70 84 21
70 110 19
70 113 21
70 128 21
70 136 19
70 142 6
70 155 12
70 176 11
70 178 9
70 186 5
70 188 1
70 189 6
70 215 15
70 234 15
70 240 15
70 243 13
70 277 17
70 284 14
70 303 12
71 30 7
71 71 14
71 73 6
71 78 7
71 79 10
71 96 23
71 99 2
71 128 20
71 136 18
71 195 8
71 196 21
71 205 9
71 208 22
71 222 10
71 232 23
71 265 13
71 273 23
71 289 5
71 290 18
71 295 4
71 298 13
72 7 22
72 11 4
72 12 13
72 13 14
72 22 13
72 30 21
72 35 3
72 45 6
72 67 11
72 83 8
72 91 7
72 94 2
72 101 13
72 132 7
72 134 5
72 138 12
72 146 8
72 157 2
72 158 7
72 175 9
72 176 16
72 189 9
72 230 8
72 234 20
72 245 8
72 253 20
72 261 19
72 266 12
72 279 15
72 293 22
72 294 19
73 3 7
73 8 19
73 14 8
73 20 14
73 30 8
73 39 5
73 42 16
73 54 8
73 70 16
73 80 17
73 90 14
73 91 11
73 102 6
73 108 20
73 114 15
73 132 12
73 133 21
73 140 10
73 144 12
73 163 7
73 164 20
73 177 20
73 192 8
73 207 16
73 217 4
73 239 4
73 245 11
73 251 15
73 256 12
73 260 3
73 263 10
73 269 13
73 272 21
73 302 11
74 21 3
74 25 23
74 28 16
74 43 13
74 56 7
74 78 2
74 87 6
74 99 14
74 106 6
74 122 6
74 126 10
74 129 14
74 138 17
74 142 1
74 150 1
74 152 22
74 166 7
74 172 20
74 216 18
74 224 8
74 226 6
74 228 21
74 231 6
74 244 10
74 245 6
74 253 11
74 266 6
74 278 10
74 279 23
74 283 3
74 285 20
74 297 20
75 9 19
75 13 6
75 17 9
75 18 2
75 25 7
75 27 8
75 28 9
75 36 6
75 39 7
75 47 18
75 69 20
75 73 17
75 99 13
75 137 14
75 142 15
75 151 13
75 157 4
75 162 9
75 175 21
75 182 9
75 183 23
75 201 3
75 202 18
75 210 6
75 212 13
75 220 23
75 232 15
75 234 13
75 236 19
75 264 11
75 270 9
75 278 9
75 287 11
75 289 11
76 10 10
76 15 17
76 19 12
76 31 19
76 52 17
76 62 19
76 64 7
76 66 13
76 71 6
76 75 19
76 93 20
76 96 21
76 118 3
76 145 23
76 149 23
76 152 23
76 163 8
76 175 23
76 210 2
76 241 19
76 242 22
76 245 14
76 248 12
76 251 13
76 256 20
76 261 1
76 289 17
76 295 22
77 5 9
77 7 4
77 14 3
77 15 13
77 18 15
77 39 15
77 48 2
77 52 2
77 58 4
77 62 8
77 73 14
77 75 3
77 79 21
77 93 4
77 96 17
77 104 23
77 105 3
77 110 17
77 112 16
77 128 4
77 141 10
77 143 17
77 153 22
77 160 2
77 178 1
77 179 4
77 185 8
77 192 15
77 200 4
77 202 1
77 209 7
77 216 13
77 218 22
77 223 10
77 231 2
77 236 7
77 274 18
77 292 3
77 295 8
78 4 15
78 59 4
78 72 15
78 82 17
78 88 18
78 93 18
78 98 11
78 112 11
78 113 14
78 117 21
78 143 3
78 147 17
78 150 1
78 159 13
78 175 15
78 180 2
78 181 14
78 182 12
78 186 9
78 195 22
78 208 15
78 214 9
78 218 5
78 250 21
78 271 1
78 274 14
78 280 16
79 7 1
79 12 2
79 13 18
79 15 8
79 28 16
79 32 16
79 34 16
79 52 4
79 57 4
79 73 4
79 81 14
79 153 15
79 156 17
79 158 5
79 162 17
79 163 10
79 172 5
79 183 7
79 195 18
79 213 6
79 223 14
79 226 6
79 233 14
79 235 12
79 250 21
79 263 16
79 265 16
79 267 18
79 275 11
79 280 1
79 284 11
79 300 11
79 301 2
80 5 22
80 14 13
80 34 18
80 52 8
80 53 5
80 76 21
80 82 12
80 87 3
80 100 5
80 112 20
80 119 19
80 124 9
80 136 13
80 138 6
80 150 7
80 175 13
80 200 23
80 209 12
80 232 3
80 248 6
80 263 19
80 266 8
80 271 20
80 283 11
80 294 18
81 6 8
81 13 21
81 28 18
81 53 12
81 61 3
81 109 19
81 112 5
81 116 15
81 136 7
81 138 12
81 143 13
81 161 21
81 200 17
81 202 15
81 203 2
81 205 13
81 211 11
81 221 4
81 232 20
81 235 10
81 237 10
81 241 9
81 250 3
81 253 15
81 256 6
81 265 2
81 276 10
81 293 7
81 300 21
82 24 15
82 25 1
82 31 23
82 36 6
82 63 18
82 71 11
82 73 8
82 77 8
82 117 15
82 125 16
82 127 14
82 145 21
82 176 23
82 177 12
82 194 8
82 199 8
82 206 7
82 217 15
82 219 12
82 220 5
82 222 11
82 225 21
82 226 8
82 233 13
82 234 1
82 253 23
83 18 18
83 22 2
83 30 3
83 41 2
83 47 17
